audio_path,text,split
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony/clip_0001_clean.wav,"Hi, um, I take metformin, I think it’s either 50 mg or maybe 15 mg twice daily, I’m not completely sure, and lately I’ve been feeling kind of dizzy and lightheaded, so I wanted to check if I should keep taking it or adjust the dose.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony_rich_noisy/clip_0001_noisy_med.wav,"Hi, um, I take metformin, I think it’s either 50 mg or maybe 15 mg twice daily, I’m not completely sure, and lately I’ve been feeling kind of dizzy and lightheaded, so I wanted to check if I should keep taking it or adjust the dose.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony_rich_noisy/clip_0001_noisy_high.wav,"Hi, um, I take metformin, I think it’s either 50 mg or maybe 15 mg twice daily, I’m not completely sure, and lately I’ve been feeling kind of dizzy and lightheaded, so I wanted to check if I should keep taking it or adjust the dose.",val
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony/clip_0002_clean.wav,"Hello, I need a refill for lisinopril, I believe it’s 10 milligrams, but it might be 15, I’m not totally sure, once a day, and I only have like 5 or maybe 9 pills left, so I wanted to get that sorted out.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony_rich_noisy/clip_0001_medical.wav,"Hi, um, I take metformin, I think it’s either 50 mg or maybe 15 mg twice daily, I’m not completely sure, and lately I’ve been feeling kind of dizzy and lightheaded, so I wanted to check if I should keep taking it or adjust the dose.",test
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony/clip_0001_accented.wav,"Hi, um, I take metformin, I think it’s either 50 mg or maybe 15 mg twice daily, I’m not completely sure, and lately I’ve been feeling kind of dizzy and lightheaded, so I wanted to check if I should keep taking it or adjust the dose.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony_rich_noisy/clip_0002_noisy_high.wav,"Hello, I need a refill for lisinopril, I believe it’s 10 milligrams, but it might be 15, I’m not totally sure, once a day, and I only have like 5 or maybe 9 pills left, so I wanted to get that sorted out.",val
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony_rich_noisy/clip_0002_noisy_med.wav,"Hello, I need a refill for lisinopril, I believe it’s 10 milligrams, but it might be 15, I’m not totally sure, once a day, and I only have like 5 or maybe 9 pills left, so I wanted to get that sorted out.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony/clip_0002_accented.wav,"Hello, I need a refill for lisinopril, I believe it’s 10 milligrams, but it might be 15, I’m not totally sure, once a day, and I only have like 5 or maybe 9 pills left, so I wanted to get that sorted out.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony/clip_0003_clean.wav,"So I’m taking amlodipine in the morning and atorvastatin at night, and I think the amlodipine is 5 mg, or maybe 9 mg, I might be mixing that up, but I’m running low and need a refill.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony_rich_noisy/clip_0003_noisy_med.wav,"So I’m taking amlodipine in the morning and atorvastatin at night, and I think the amlodipine is 5 mg, or maybe 9 mg, I might be mixing that up, but I’m running low and need a refill.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony_rich_noisy/clip_0003_noisy_high.wav,"So I’m taking amlodipine in the morning and atorvastatin at night, and I think the amlodipine is 5 mg, or maybe 9 mg, I might be mixing that up, but I’m running low and need a refill.",val
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony/clip_0003_accented.wav,"So I’m taking amlodipine in the morning and atorvastatin at night, and I think the amlodipine is 5 mg, or maybe 9 mg, I might be mixing that up, but I’m running low and need a refill.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony/clip_0004_clean.wav,"Hi, I think I ran out of metoprolol yesterday, and I might have missed a dose, it’s either 25 or 50 milligrams, I can’t remember exactly, so I wanted to ask if I can refill it.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony_rich_noisy/clip_0004_noisy_med.wav,"Hi, I think I ran out of metoprolol yesterday, and I might have missed a dose, it’s either 25 or 50 milligrams, I can’t remember exactly, so I wanted to ask if I can refill it.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony_rich_noisy/clip_0002_medical.wav,"Hello, I need a refill for lisinopril, I believe it’s 10 milligrams, but it might be 15, I’m not totally sure, once a day, and I only have like 5 or maybe 9 pills left, so I wanted to get that sorted out.",test
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony_rich_noisy/clip_0004_noisy_high.wav,"Hi, I think I ran out of metoprolol yesterday, and I might have missed a dose, it’s either 25 or 50 milligrams, I can’t remember exactly, so I wanted to ask if I can refill it.",val
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony/clip_0004_accented.wav,"Hi, I think I ran out of metoprolol yesterday, and I might have missed a dose, it’s either 25 or 50 milligrams, I can’t remember exactly, so I wanted to ask if I can refill it.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony/clip_0005_clean.wav,"Since my surgery last week, I’ve been taking oxycodone, I think it’s 5 mg but maybe 9 mg, and I’ve been feeling really nauseous and kind of dizzy, so I’m not sure if that’s normal or if I should switch medications.",train
/Users/aayanmapara/Hackathons/villagehacks/backend/audio_gen/output/run_5x_v3/telephony_rich_noisy/clip_0005_noisy_med.wav,"Since my surgery last week, I’ve been taking oxycodone, I think it’s 5 mg but maybe 9 mg, and I’ve been feeling really nauseous and kind of dizzy, so I’m not sure if that’s normal or if I should switch medications.",train
