accent,accent_profile,audio_clean_path,audio_telephony_path,base_script_id,category,clean_encoding,clean_sample_rate,clip_id,contains_ambiguity,contains_medical_terms,contains_numeric_confusion,difficulty,duration_sec,has_interruptions,input_hash,manifest_version,medical_domain,medical_subtype,noise_components,noise_level,noise_profile,noise_render,numeric_confusion_type,scenario,scenario_group,script_family_id,speech_style,split,telephony_encoding,telephony_sample_rate,text,voice_id,voice_type
us,,clean/clip_0001_clean.wav,telephony/clip_0001_clean.wav,script_0001,medication_followup,pcm_s16le,16000,clip_0001_clean,True,True,True,easy,14.860812,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,duration_confusion,clean_speech,baseline,family_0001,calm,train,pcm_s16le,8000,"Hi, um, I take metformin, I think it’s either 50 mg or maybe 15 mg twice daily, I’m not completely sure, and lately I’ve been feeling kind of dizzy and lightheaded, so I wanted to check if I should keep taking it or adjust the dose.",CwhRBWXzGAHq8TQ4Fs17,neutral
us,,clean_rich_noisy/clip_0001_noisy_med.wav,telephony_rich_noisy/clip_0001_noisy_med.wav,script_0001,triage_call,pcm_s16le,16000,clip_0001_noisy_med,True,True,True,medium,13.281813,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,medium,medium,rich_background_v1,duration_confusion,noisy_environment,noisy,family_0001,conversational,train,pcm_s16le,8000,"Hi, um, I take metformin, I think it’s either 50 mg or maybe 15 mg twice daily, I’m not completely sure, and lately I’ve been feeling kind of dizzy and lightheaded, so I wanted to check if I should keep taking it or adjust the dose.",EXAVITQu4vr4xnSDxMaL,telephony
us,,clean_rich_noisy/clip_0001_noisy_high.wav,telephony_rich_noisy/clip_0001_noisy_high.wav,script_0001,urgent_symptom,pcm_s16le,16000,clip_0001_noisy_high,True,True,True,hard,14.582125,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,high,high,rich_background_v1,duration_confusion,noisy_environment,noisy,family_0001,stressed,val,pcm_s16le,8000,"Hi, um, I take metformin, I think it’s either 50 mg or maybe 15 mg twice daily, I’m not completely sure, and lately I’ve been feeling kind of dizzy and lightheaded, so I wanted to check if I should keep taking it or adjust the dose.",FGY2WhTYpPnrIDTdsKH5,telephony
indian_english,south_asian_english,clean/clip_0001_accented.wav,telephony/clip_0001_accented.wav,script_0001,medication_question,pcm_s16le,16000,clip_0001_accented,True,True,True,medium,14.48925,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,duration_confusion,accented_speech,accented,family_0001,careful,train,pcm_s16le,8000,"Hi, um, I take metformin, I think it’s either 50 mg or maybe 15 mg twice daily, I’m not completely sure, and lately I’ve been feeling kind of dizzy and lightheaded, so I wanted to check if I should keep taking it or adjust the dose.",IKne3meq5aSn9XLyUdCD,accented
us,,clean_rich_noisy/clip_0001_medical.wav,telephony_rich_noisy/clip_0001_medical.wav,script_0001,medical_conversation,pcm_s16le,16000,clip_0001_medical,True,True,True,hard,14.48925,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,True,medication_safety,conversation+ambience+music,medium,medium,rich_background_v1,duration_confusion,medical_conversation,medical,family_0001,clinical,test,pcm_s16le,8000,"Hi, um, I take metformin, I think it’s either 50 mg or maybe 15 mg twice daily, I’m not completely sure, and lately I’ve been feeling kind of dizzy and lightheaded, so I wanted to check if I should keep taking it or adjust the dose.",JBFqnCBsd6RMkjVDRZzb,clinical
us,,clean/clip_0002_clean.wav,telephony/clip_0002_clean.wav,script_0002,medication_followup,pcm_s16le,16000,clip_0002_clean,True,True,True,easy,12.399437,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,duration_confusion,clean_speech,baseline,family_0002,calm,train,pcm_s16le,8000,"Hello, I need a refill for lisinopril, I believe it’s 10 milligrams, but it might be 15, I’m not totally sure, once a day, and I only have like 5 or maybe 9 pills left, so I wanted to get that sorted out.",EXAVITQu4vr4xnSDxMaL,neutral
us,,clean_rich_noisy/clip_0002_noisy_med.wav,telephony_rich_noisy/clip_0002_noisy_med.wav,script_0002,triage_call,pcm_s16le,16000,clip_0002_noisy_med,True,True,True,medium,12.678125,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,medium,medium,rich_background_v1,duration_confusion,noisy_environment,noisy,family_0002,conversational,train,pcm_s16le,8000,"Hello, I need a refill for lisinopril, I believe it’s 10 milligrams, but it might be 15, I’m not totally sure, once a day, and I only have like 5 or maybe 9 pills left, so I wanted to get that sorted out.",FGY2WhTYpPnrIDTdsKH5,telephony
us,,clean_rich_noisy/clip_0002_noisy_high.wav,telephony_rich_noisy/clip_0002_noisy_high.wav,script_0002,urgent_symptom,pcm_s16le,16000,clip_0002_noisy_high,True,True,True,hard,13.421125,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,high,high,rich_background_v1,duration_confusion,noisy_environment,noisy,family_0002,stressed,val,pcm_s16le,8000,"Hello, I need a refill for lisinopril, I believe it’s 10 milligrams, but it might be 15, I’m not totally sure, once a day, and I only have like 5 or maybe 9 pills left, so I wanted to get that sorted out.",IKne3meq5aSn9XLyUdCD,telephony
indian_english,south_asian_english,clean/clip_0002_accented.wav,telephony/clip_0002_accented.wav,script_0002,medication_question,pcm_s16le,16000,clip_0002_accented,True,True,True,medium,13.653375,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,duration_confusion,accented_speech,accented,family_0002,careful,train,pcm_s16le,8000,"Hello, I need a refill for lisinopril, I believe it’s 10 milligrams, but it might be 15, I’m not totally sure, once a day, and I only have like 5 or maybe 9 pills left, so I wanted to get that sorted out.",JBFqnCBsd6RMkjVDRZzb,accented
us,,clean_rich_noisy/clip_0002_medical.wav,telephony_rich_noisy/clip_0002_medical.wav,script_0002,medical_conversation,pcm_s16le,16000,clip_0002_medical,True,True,True,hard,15.836,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,True,medication_safety,conversation+ambience+music,medium,medium,rich_background_v1,duration_confusion,medical_conversation,medical,family_0002,clinical,test,pcm_s16le,8000,"Hello, I need a refill for lisinopril, I believe it’s 10 milligrams, but it might be 15, I’m not totally sure, once a day, and I only have like 5 or maybe 9 pills left, so I wanted to get that sorted out.",N2lVS1w4EtoT3dr4eOWO,clinical
us,,clean/clip_0003_clean.wav,telephony/clip_0003_clean.wav,script_0003,medication_followup,pcm_s16le,16000,clip_0003_clean,True,True,True,easy,10.26325,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,dose_confusion,clean_speech,baseline,family_0003,calm,train,pcm_s16le,8000,"So I’m taking amlodipine in the morning and atorvastatin at night, and I think the amlodipine is 5 mg, or maybe 9 mg, I might be mixing that up, but I’m running low and need a refill.",FGY2WhTYpPnrIDTdsKH5,neutral
us,,clean_rich_noisy/clip_0003_noisy_med.wav,telephony_rich_noisy/clip_0003_noisy_med.wav,script_0003,triage_call,pcm_s16le,16000,clip_0003_noisy_med,True,True,True,medium,10.449,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,medium,medium,rich_background_v1,dose_confusion,noisy_environment,noisy,family_0003,conversational,train,pcm_s16le,8000,"So I’m taking amlodipine in the morning and atorvastatin at night, and I think the amlodipine is 5 mg, or maybe 9 mg, I might be mixing that up, but I’m running low and need a refill.",IKne3meq5aSn9XLyUdCD,telephony
us,,clean_rich_noisy/clip_0003_noisy_high.wav,telephony_rich_noisy/clip_0003_noisy_high.wav,script_0003,urgent_symptom,pcm_s16le,16000,clip_0003_noisy_high,True,True,True,hard,11.517125,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,high,high,rich_background_v1,dose_confusion,noisy_environment,noisy,family_0003,stressed,val,pcm_s16le,8000,"So I’m taking amlodipine in the morning and atorvastatin at night, and I think the amlodipine is 5 mg, or maybe 9 mg, I might be mixing that up, but I’m running low and need a refill.",JBFqnCBsd6RMkjVDRZzb,telephony
indian_english,south_asian_english,clean/clip_0003_accented.wav,telephony/clip_0003_accented.wav,script_0003,medication_question,pcm_s16le,16000,clip_0003_accented,True,True,True,medium,14.11775,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,dose_confusion,accented_speech,accented,family_0003,careful,train,pcm_s16le,8000,"So I’m taking amlodipine in the morning and atorvastatin at night, and I think the amlodipine is 5 mg, or maybe 9 mg, I might be mixing that up, but I’m running low and need a refill.",N2lVS1w4EtoT3dr4eOWO,accented
us,,clean_rich_noisy/clip_0003_medical.wav,telephony_rich_noisy/clip_0003_medical.wav,script_0003,medical_conversation,pcm_s16le,16000,clip_0003_medical,True,True,True,hard,10.913375,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,True,medication_safety,conversation+ambience+music,medium,medium,rich_background_v1,dose_confusion,medical_conversation,medical,family_0003,clinical,test,pcm_s16le,8000,"So I’m taking amlodipine in the morning and atorvastatin at night, and I think the amlodipine is 5 mg, or maybe 9 mg, I might be mixing that up, but I’m running low and need a refill.",SAz9YHcvj6GT2YYXdXww,clinical
us,,clean/clip_0004_clean.wav,telephony/clip_0004_clean.wav,script_0004,medication_followup,pcm_s16le,16000,clip_0004_clean,True,True,True,easy,11.284937,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,duration_confusion,clean_speech,baseline,family_0004,calm,train,pcm_s16le,8000,"Hi, I think I ran out of metoprolol yesterday, and I might have missed a dose, it’s either 25 or 50 milligrams, I can’t remember exactly, so I wanted to ask if I can refill it.",IKne3meq5aSn9XLyUdCD,neutral
us,,clean_rich_noisy/clip_0004_noisy_med.wav,telephony_rich_noisy/clip_0004_noisy_med.wav,script_0004,triage_call,pcm_s16le,16000,clip_0004_noisy_med,True,True,True,medium,11.145563,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,medium,medium,rich_background_v1,duration_confusion,noisy_environment,noisy,family_0004,conversational,train,pcm_s16le,8000,"Hi, I think I ran out of metoprolol yesterday, and I might have missed a dose, it’s either 25 or 50 milligrams, I can’t remember exactly, so I wanted to ask if I can refill it.",JBFqnCBsd6RMkjVDRZzb,telephony
